12345678	11064	3
12345678	5401	2
12345678	2452	3
12345678	17157	4
12345678	3106	2
12345678	2152	3
12345678	12918	5
12345678	16377	3
12345678	5926	2
12345678	14367	4
12345678	1905	4
12345678	571	3
12345678	15205	3
12345678	3938	2
12345678	2862	3
12345678	6972	2
12345678	12155	4
12345678	3860	3
12345678	14538	3
12345678	14712	3
12345678	5862	3
12345678	6037	4
12345678	4656	2
12345678	8387	3
12345678	2372	5
12345678	7617	3
12345678	4640	4
12345678	3624	2
12345678	4306	3
12345678	15107	5
12345678	1962	3
12345678	13651	2
12345678	14454	3
12345678	15124	4
12345678	12232	3
12345678	4996	3
12345678	11521	3
12345678	14410	3
12345678	14691	4
12345678	13081	2
12345678	8644	4
12345678	13728	2
12345678	12317	3
12345678	1307	2
12345678	11089	3
12345678	11283	3
12345678	16954	2
12345678	1145	3
12345678	16879	5
12345678	14621	2
12345678	7624	2
12345678	5496	5
12345678	3427	5
12345678	3962	3
12345678	2782	4
12345678	6287	2
12345678	10947	3
12345678	4432	2
12345678	12161	2
12345678	12470	2
